	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	Kingdom	Phylum	Class	Order	Family	Genus	Species
seq1486	0	0	0	278	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq1487	0	0	0	0	278	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Listeriaceae	Listeria	
seq1488	0	0	0	0	0	0	0	0	0	278	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Planifilum	
seq1489	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq1490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	277	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq1491	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Pseudogracilibacillus	
seq1492	0	276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Ornithinibacillus	
seq1493	0	0	0	0	0	0	0	110	0	166	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Paenalcaligenes	hermetiae
seq1494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	0	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Myxococcaceae	Myxococcus	
seq1495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Serratia	
seq1496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	Bacteria	Firmicutes	Bacilli	Bacillales			
seq1497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
seq1498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	274	0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Brevibacteriaceae	Brevibacterium	
seq1499	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Virgibacillus	
seq1500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Thermoactinomycetaceae	Risungbinella	
seq1501	0	0	0	0	0	0	0	270	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq1502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	0	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Pusillimonas	
seq1503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	270	0	Bacteria	Firmicutes	Clostridia	M55-D21			
seq1504	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae		
seq1505	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	
seq1506	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Eukaryota						
seq1507	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq1508	0	0	0	0	0	0	0	268	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Alcanivoracaceae	Alcanivorax	
seq1509	0	0	0	0	0	0	0	0	0	268	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria				
seq1510	0	0	0	0	0	0	0	0	0	0	268	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria				
seq1511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	268	0	Bacteria	Tenericutes	Mollicutes	Haloplasmatales	Haloplasmataceae	Haloplasma	
seq1512	0	267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Savagea	faecisuis
seq1513	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae		
seq1514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	
seq1515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	267	0	0	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	
seq1516	0	0	0	0	0	0	0	266	0	0	0	0	0	0	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	composti
seq1517	0	0	0	0	0	265	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Chelativorans	
seq1518	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq1519	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq1520	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Anaerosalibacter	bizertensis
