	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	Kingdom	Phylum	Class	Order	Family	Genus	Species
seq1431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Tepidimicrobium	
seq1432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitibacter	
seq1433	295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Anseongella	
seq1434	0	0	0	0	0	295	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales			
seq1435	0	0	0	0	0	0	0	0	0	0	0	0	0	295	0	0	0	Bacteria	Firmicutes	Limnochordia	Limnochordales	Limnochordaceae		
seq1436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Thermobacillus	
seq1437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	295	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq1438	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales			
seq1439	0	0	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Thermobacillus	
seq1440	0	0	132	0	162	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiaceae	Thermopolyspora	
seq1441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	293	0	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	JG30-KF-CM45		
seq1442	0	0	0	0	0	0	0	0	0	152	0	0	0	0	140	0	0	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Olivibacter	
seq1443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Lentibacillus	
seq1444	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	34	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Thermobacillus	
seq1445	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Sphingobacterium	
seq1446	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	Eukaryota						
seq1447	0	0	0	0	0	0	0	0	247	0	0	0	0	0	0	43	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Ammoniphilus	
seq1448	0	0	0	0	0	0	0	0	0	0	0	0	0	290	0	0	0	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Vulgatibacteraceae	Vulgatibacter	
seq1449	289	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Chloroflexi	Chloroflexia	Thermomicrobiales	Thermomicrobiaceae	Sphaerobacter	
seq1450	0	0	0	0	0	0	0	288	0	0	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Pusillimonas	
seq1451	0	0	0	0	0	0	0	0	0	0	0	0	0	288	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Anseongella	
seq1452	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Lentibacillus	
seq1453	0	0	0	0	0	0	0	287	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Nocardiopsaceae		
seq1454	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	0	0	Bacteria	Firmicutes	Limnochordia	Limnochordales	Limnochordaceae		
seq1455	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Filomicrobium	
seq1456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Pseudogracilibacillus	
seq1457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	Bacteria	Firmicutes	Clostridia	Clostridiales	Family_XI	Tepidimicrobium	
seq1458	0	0	0	286	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	
seq1459	0	0	0	0	0	0	286	0	0	0	0	0	0	0	0	0	0	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae		
seq1460	0	0	0	0	0	0	0	0	286	0	0	0	0	0	0	0	0	Bacteria	Gemmatimonadetes	S0134_terrestrial_group				
seq1461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Galbibacter	
seq1462	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Pusillimonas	
seq1463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	285	0	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae		
seq1464	0	0	0	200	0	0	84	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae		
seq1465	0	0	0	0	0	0	284	0	0	0	0	0	0	0	0	0	0							
seq1466	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Mycobacteriaceae	Mycobacterium	
seq1467	0	0	0	0	0	0	0	0	0	283	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae		
seq1468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Thermomonospora	
seq1469	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	283	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
seq1470	0	0	0	0	0	0	282	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Lysinibacillus	
seq1471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	0	Bacteria	Firmicutes	Clostridia				
seq1472	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Gemmatimonadetes	S0134_terrestrial_group				
seq1473	0	0	0	281	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharomonospora	
seq1474	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Limnochordia	Limnochordales	Limnochordaceae		
seq1475	0	0	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	cisolokensis
seq1476	280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Brevibacillus	
seq1477	0	0	0	0	0	0	43	0	0	0	0	0	0	237	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Ammoniphilus	
seq1478	0	0	0	0	0	0	0	0	0	280	0	0	0	0	0	0	0	Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Wohlfahrtiimonadaceae	Ignatzschineria	
seq1479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Saccharopolyspora	
seq1480	279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Sinibacillus	
seq1481	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae		
seq1482	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
seq1483	0	0	0	0	0	0	0	0	279	0	0	0	0	0	0	0	0	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
seq1484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	279	0	0	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Chelatococcus	daeguensis
seq1485	278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	Membranicola	
